2022-12-15 17:23:50,551 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application.yml
2022-12-15 17:23:50,551 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application.xml
2022-12-15 17:23:50,551 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application.properties
2022-12-15 17:23:50,551 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application-default.yaml
2022-12-15 17:23:50,551 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application-default.yml
2022-12-15 17:23:50,551 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application-default.xml
2022-12-15 17:23:50,552 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application-default.properties
2022-12-15 17:23:50,552 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application-default.yaml
2022-12-15 17:23:50,552 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application-default.yml
2022-12-15 17:23:50,552 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application-default.xml
2022-12-15 17:23:50,552 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application-default.properties
2022-12-15 17:23:50,552 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Nothing imported
2022-12-15 17:23:50,552 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processed imports for of 2 contributors
2022-12-15 17:23:50,552 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Applying config data environment contributions
2022-12-15 17:23:50,552 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Adding imported property source 'Config resource 'class path resource [application.properties]' via location 'optional:classpath:/''
2022-12-15 17:23:50,554 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Setting default profiles: [default]
2022-12-15 17:23:50,554 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Setting active profiles: []
2022-12-15 17:23:50,556 TRACE   org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@12bfd80d, started on Thu Dec 15 17:23:50 IST 2022
2022-12-15 17:23:50,569 TRACE   org.springframework.beans.factory.support.DefaultListableBeanFactory - Registering scope 'request' with implementation [org.springframework.web.context.request.RequestScope@7db534f2]
2022-12-15 17:23:50,569 TRACE   org.springframework.beans.factory.support.DefaultListableBeanFactory - Registering scope 'session' with implementation [org.springframework.web.context.request.SessionScope@7eb01b12]
2022-12-15 17:23:50,585 DEBUG   org.springframework.beans.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
